,epochs,epsilon,clipping_mode,explanation_type,tpr_01_mean,tpr01_sd,tpr_001_mean,tpr_001_sd,auc_mean,auc_sd
0,30,0.0,nonDP,ixg,0.15303529411764702,0.021597492805919164,0.0894764705882353,0.021260140263268276,0.6382547852941176,0.009524992235940073
1,30,0.0,nonDP,sl,0.15294705882352944,0.022981837269693158,0.09019999999999999,0.02226046350133163,0.6385688829411764,0.01034073453978447
2,30,0.5,BK-MixOpt,ixg,0.01101317179923528,0.0019998739810751973,0.0013891112121453535,0.0006956774652044202,0.5028866478312117,0.004260761729021706
3,30,0.5,BK-MixOpt,sl,0.010242074980640123,0.0016256858608069533,0.0011537135229550705,0.000553640624290369,0.502402809429338,0.00411051612971284
4,30,1.0,BK-MixOpt,ixg,0.012837770764460786,0.002283783223353219,0.0018835308144394705,0.0007519829342121977,0.5086908737328578,0.0034983508754939836
5,30,1.0,BK-MixOpt,sl,0.01261403703455162,0.002182816813465547,0.0016422425338429325,0.0006655000797252577,0.509196042509441,0.0031441836722820382
6,30,2.0,BK-MixOpt,ixg,0.01589835009596831,0.002540002855004352,0.0018894184676813888,0.0006661516407693009,0.5149299597395656,0.003966615923888134
7,30,2.0,BK-MixOpt,sl,0.016386894427472747,0.002948084188967155,0.002142543902204285,0.0010897134487912702,0.5141815236613793,0.004788706937654619
8,30,8.0,BK-MixOpt,ixg,0.030243435778325955,0.004432128335321811,0.004043839571980252,0.0014274940226698953,0.5326659609243913,0.004359591197763609
9,30,8.0,BK-MixOpt,sl,0.030484708175705002,0.0047218477110156955,0.004208687940337926,0.001633970770759986,0.5325252072379786,0.00433873312772733
